Entry,EC number
A7VL18,1.2.1.19; 1.2.1.3; 1.2.1.46; 1.2.1.47
A8VU90,3.1.-.-
A9Q751,Not Available
B0F2B4,Not Available
B0V2N1,3.1.3.48
B1AQJ2,2.3.2.-; 3.4.19.12
B1AR17,3.6.4.12
B1ARD8,3.1.-.-
B1AS29,Not Available
B1ASB6,Not Available
B1ASP2,2.7.10.2
B1ATI0,Not Available
B1AUH1,3.1.3.48
B1AUS6,Not Available
B1AVY7,Not Available
B1AWC8,3.1.4.-
B1AWC9,3.1.4.-
B1AWD0,3.1.4.-
B1AWD1,3.1.4.53
B1AWL2,Not Available
B1AWN4,7.6.2.1
B1AWN6,Not Available
B1AWS8,2.7.10.1
B1AXD8,Not Available
B1AXF5,3.1.3.1; 3.9.1.1
B1AXV0,Not Available
B1AY10,2.3.2.-
B1AY15,3.4.19.12
B1AYL1,Not Available
B1AZ99,3.4.19.12
B1AZI6,Not Available
B1AZP2,Not Available
B1B0V2,Not Available
B2KF05,Not Available
B2MWM9,Not Available
B2RPW6,Not Available
B2RPY5,Not Available
B2RQC2,3.4.19.12
B2RQC6,2.1.3.2; 3.5.1.2; 3.5.2.3; 6.3.4.16; 6.3.5.5
B2RQL2,Not Available
B2RQR8,3.4.24.71
B2RR30,2.3.1.48
B2RR83,3.6.4.13
B2RRD7,Not Available
B2RRE7,3.4.19.12
B2RRX1,Not Available
B2RS91,Not Available
B2RSH2,3.6.5.-
B2RU80,3.1.3.48
B2RUG9,Not Available
B2RUJ5,Not Available
B2RUP2,Not Available
B2RUR8,3.4.19.12
B2RUS7,Not Available
B2RVY9,Not Available
B2RW38,Not Available
B2RWS6,2.3.1.-; 2.3.1.48
B2RX12,7.6.2.-; 7.6.2.2; 7.6.2.3
B2RX14,2.7.7.52
B2RX88,Not Available
B2RXA7,1.14.14.1
B2RXC2,2.7.-.-
B2RXE2,Not Available
B2RXS4,Not Available
B2RXV4,Not Available
B2RXZ1,3.1.13.4
B2RY04,Not Available
B2RY50,Not Available
B2RY71,Not Available
B5KM66,Not Available
B5TVM2,Not Available
B5X0E4,7.6.2.2
B6VGH4,1.14.14.1
B7XGA6,3.1.3.1
B7ZDF5,3.5.1.98
B7ZNG0,Not Available
B7ZP16,2.6.1.18; 2.6.1.40; 2.6.1.44
B7ZWM4,1.6.3.1
B8JK39,Not Available
B8ZXI1,Not Available
B9EHT4,Not Available
B9EIW1,Not Available
B9EJ57,Not Available
B9EJ80,Not Available
B9EJ86,Not Available
B9EJA2,Not Available
B9EJV3,Not Available
B9EKI3,Not Available
B9EKR1,3.1.3.48
B9EKT6,Not Available
C0HKE1,Not Available
C0HKE2,Not Available
C0HKE3,Not Available
C0HKE4,Not Available
C0HKE5,Not Available
C0HKE6,Not Available
C0HKE7,Not Available
C0HKE8,Not Available
C0HKE9,Not Available
C0LLJ0,Not Available
C3VD30,Not Available
C3VPR6,Not Available
C6KI89,Not Available
D0G895,Not Available
D0QMC3,Not Available
D0VYS2,Not Available
D2EAC2,Not Available
D2J0Y4,2.3.2.-
D3KU66,2.1.1.4
D3YUB6,Not Available
D3YUJ3,Not Available
D3YVF0,Not Available
D3YVL2,Not Available
D3YWH8,Not Available
D3YWP0,2.1.1.-
D3YWQ0,2.7.1.107
D3YX12,2.7.8.1; 2.7.8.2; 2.7.8.22
D3YXG0,Not Available
D3YXJ0,2.7.1.107
D3YXK1,Not Available
D3YXK2,Not Available
D3YYI7,2.3.2.31
D3YZ49,2.6.1.18; 2.6.1.40; 2.6.1.44
D3YZU1,Not Available
D3YZZ2,Not Available
D3Z120,Not Available
D3Z1Q2,Not Available
D3Z291,Not Available
D3Z2R5,Not Available
D3Z3K2,2.3.2.27
D3Z423,2.3.2.27
D3Z4I3,Not Available
D3Z4R4,Not Available
D3Z5L6,Not Available
D3Z5S8,2.7.7.19
D3Z649,Not Available
D3Z6P0,5.3.4.1
D3Z6Q4,Not Available
D3Z752,Not Available
D3Z7P3,3.5.1.2
D6MZJ6,3.1.4.12
D6RFA9,3.6.1.5
D6RHQ2,3.6.1.5
D7PDD4,Not Available
E0CXC2,2.3.2.27
E0CZ16,Not Available
E1AZ71,Not Available
E1U8D0,Not Available
E2JF22,Not Available
E7FJU2,Not Available
E9PUL5,Not Available
E9PUN2,Not Available
E9PUN6,Not Available
E9PUQ8,2.7.1.107
E9PV24,Not Available
E9PV87,Not Available
E9PVA8,Not Available
E9PVD3,Not Available
E9PVX6,Not Available
E9PWL1,Not Available
E9PX29,Not Available
E9PX95,Not Available
E9PXF8,Not Available
E9PXU2,Not Available
E9PXX9,Not Available
E9PY46,Not Available
E9PY61,Not Available
E9PYH6,2.1.1.364
E9PYI1,Not Available
E9PYK3,2.4.2.-
E9PYV8,Not Available
E9PYW4,2.3.2.27
E9PYY5,Not Available
E9PZ19,Not Available
E9PZ36,Not Available
E9PZ97,5.6.2.4
E9PZC2,Not Available
E9PZI6,5.6.1.1
E9PZJ8,3.6.4.12
E9PZM4,3.6.4.12
E9PZQ0,Not Available
E9PZZ1,2.1.1.-
E9Q0N2,3.1.3.48
E9Q0S6,3.1.3.-
E9Q236,7.6.2.-; 7.6.2.2; 7.6.2.3
E9Q238,Not Available
E9Q2M9,Not Available
E9Q2T3,Not Available
E9Q2Z1,Not Available
E9Q394,Not Available
E9Q3E1,1.2.1.3
E9Q3L2,2.7.1.67
E9Q3M5,Not Available
E9Q3P4,Not Available
E9Q3T6,2.1.1.-
E9Q401,Not Available
E9Q414,Not Available
E9Q4F7,Not Available
E9Q4J9,Not Available
E9Q4M2,3.1.1.23; 3.1.1.79
E9Q4N7,Not Available
E9Q4S1,3.1.4.53
E9Q4Z2,6.4.1.2
E9Q555,2.3.2.-; 2.3.2.27; 3.6.4.-
E9Q557,Not Available
E9Q5C9,Not Available
E9Q5F9,2.1.1.-; 2.1.1.359
E9Q5G3,Not Available
E9Q5G7,Not Available
E9Q5K4,1.14.14.-
E9Q5K9,Not Available
E9Q5R7,Not Available
E9Q612,3.1.3.48
E9Q634,Not Available
E9Q649,2.4.1.102
E9Q6B2,Not Available
E9Q6W4,Not Available
E9Q784,Not Available
E9Q7D5,Not Available
E9Q7E2,Not Available
E9Q7F2,2.3.2.27
E9Q7G0,Not Available
E9Q7N9,Not Available
E9Q7P8,3.1.3.1
E9Q7R9,Not Available
E9Q7X6,Not Available
E9Q7X7,Not Available
E9Q816,1.14.14.-
E9Q876,7.6.2.1
E9Q8I9,Not Available
E9Q8Q6,Not Available
E9Q8Q8,Not Available
E9Q8T2,2.1.1.-
E9Q8T7,Not Available
E9Q912,Not Available
E9Q956,Not Available
E9Q9A6,Not Available
E9Q9A9,2.7.7.84
E9Q9D5,Not Available
E9Q9F6,Not Available
E9Q9K5,Not Available
E9Q9K8,Not Available
E9Q9M1,2.7.1.77; 3.1.3.5; 3.1.3.99
E9Q9M8,Not Available
E9Q9R9,Not Available
E9Q9U0,3.4.19.12
E9Q9W4,6.2.1.-; 6.2.1.15; 6.2.1.3
E9Q9W7,Not Available
E9QA28,Not Available
E9QA62,Not Available
E9QAG8,Not Available
E9QAM5,3.1.13.1; 3.6.4.13
E9QAQ5,2.7.11.26
E9QAS8,Not Available
E9QAT4,Not Available
E9QAU8,2.3.2.27
E9QK53,2.7.10.1
E9QN12,2.7.10.1
E9QNN1,3.6.4.13
E9QNX9,2.7.10.1
F2YMG0,3.4.21.-
F2Z4A3,Not Available
F6SEU4,Not Available
F6TQD1,2.3.2.-
F6VAN0,Not Available
F6VJC5,Not Available
F6XRE6,Not Available
F6ZDE5,Not Available
F6ZDS4,Not Available
F6ZFB8,Not Available
F7B9M9,3.6.1.5
F7BJB9,Not Available
F7BWT7,Not Available
F8VPJ6,Not Available
F8VPK5,2.7.11.1
F8VPN2,Not Available
F8VPN4,2.4.1.25; 3.2.1.33
F8VPQ2,Not Available
F8VPU2,Not Available
F8VPZ5,3.6.4.-
F8VQ03,Not Available
F8VQ29,Not Available
F8VQ54,3.1.26.3
F8VQB6,Not Available
F8VQL0,2.7.10.1
F8VQN3,Not Available
G3UW82,Not Available
G3UXB3,Not Available
G3UYQ4,2.7.4.4; 2.7.4.6
G3UYX7,Not Available
G3UZ46,3.1.4.53
G3UZ78,Not Available
G3X8Y1,2.3.2.27
G3X8Y8,Not Available
G3X912,3.4.24.-
G3X939,Not Available
G3X943,Not Available
G3X982,1.17.3.-; 1.2.3.1
G3X9H5,Not Available
G3X9J0,Not Available
G3X9K3,Not Available
G3X9X1,Not Available
G3XA57,Not Available
G3XA59,Not Available
G5E829,7.2.2.10
G5E870,2.3.2.26
G5E8A8,Not Available
G5E8I7,3.4.19.12
G5E8K5,Not Available
G5E8P1,Not Available
G5E8Q8,Not Available
G5E8Z2,Not Available
H3BJA6,Not Available
H3BJD0,Not Available
H3BJD6,Not Available
H3BKE7,Not Available
H3BKQ7,Not Available
H3BL28,Not Available
H3BLD7,Not Available
H6RXZ1,Not Available
H7BWY3,2.6.1.18; 2.6.1.40; 2.6.1.44
H7BX38,Not Available
H7BX60,Not Available
I7HJS4,Not Available
J3QK54,3.6.4.-
J3QMI4,Not Available
J3QMK6,1.2.1.3
J3QMY9,Not Available
J3QN31,6.3.4.4
J3QPC3,3.4.11.-
J3S6Y1,Not Available
K7N6K2,2.3.2.27
K7QD41,2.7.10.2
L0CL36,Not Available
L0N7N1,Not Available
L7N1X6,Not Available
M0QWB7,Not Available
O08523,Not Available
O08524,Not Available
O08528,2.7.1.1
O08529,3.4.22.53
O08530,Not Available
O08532,Not Available
O08537,Not Available
O08538,Not Available
O08539,Not Available
O08543,Not Available
O08545,Not Available
O08547,Not Available
O08550,2.1.1.364
O08553,Not Available
O08573,Not Available
O08574,Not Available
O08575,3.1.3.48
O08579,Not Available
O08580,Not Available
O08581,Not Available
O08583,Not Available
O08584,Not Available
O08585,Not Available
O08586,3.1.3.-; 3.1.3.16; 3.1.3.48; 3.1.3.67
O08599,Not Available
O08600,3.1.30.-
O08601,Not Available
O08602,Not Available
O08603,Not Available
O08604,Not Available
O08605,2.7.11.1
O08608,Not Available
O08609,Not Available
O08638,Not Available
O08644,Not Available
O08648,2.7.11.25
O08650,2.4.1.212
O08663,3.4.11.18
O08665,Not Available
O08674,Not Available
O08675,Not Available
O08677,Not Available
O08686,Not Available
O08689,Not Available
O08691,3.5.3.1
O08692,Not Available
O08696,Not Available
O08705,Not Available
O08707,Not Available
O08709,1.11.1.27; 2.3.1.23; 3.1.1.4
O08710,Not Available
O08712,Not Available
O08715,Not Available
O08734,Not Available
O08736,3.4.22.-
O08738,3.4.22.59
O08739,3.5.4.6
O08746,Not Available
O08747,Not Available
O08749,1.8.1.4
O08750,Not Available
O08755,Not Available
O08756,1.1.1.159; 1.1.1.178; 1.1.1.239; 1.1.1.35; 1.1.1.53; 1.1.1.62
O08759,2.3.2.26
O08760,3.2.2.-; 4.2.99.18
O08762,3.4.21.-
O08785,2.3.1.48
O08786,Not Available
O08788,Not Available
O08789,Not Available
O08790,Not Available
O08791,Not Available
O08792,Not Available
O08795,Not Available
O08796,2.7.11.20
O08807,1.11.1.24
O08808,Not Available
O08811,5.6.2.3
O08832,2.4.1.41
O08842,Not Available
O08848,Not Available
O08849,Not Available
O08852,Not Available
O08856,Not Available
O08858,Not Available
O08859,Not Available
O08863,2.3.2.27
O08900,Not Available
O08901,2.7.11.1
O08908,Not Available
O08911,2.7.11.24
O08912,2.4.1.41
O08914,3.1.1.-; 3.5.1.99
O08915,Not Available
O08917,Not Available
O08919,Not Available
O08934,Not Available
O08966,Not Available
O08967,Not Available
O08969,Not Available
O08983,Not Available
O08992,Not Available
O09000,2.3.1.48
O09005,1.14.19.17; 5.2.1.-
O09008,2.4.1.222
O09009,2.4.1.222
O09010,2.4.1.222
O09012,Not Available
O09037,Not Available
O09039,Not Available
O09043,3.4.23.-
O09044,Not Available
O09046,1.4.3.2; 1.4.3.25
O09047,Not Available
O09049,Not Available
O09051,Not Available
O09053,3.1.-.-; 5.6.2.4
O09061,Not Available
O09100,Not Available
O09102,Not Available
O09105,Not Available
O09106,3.5.1.-; 3.5.1.98
O09107,Not Available
O09110,2.7.12.2
O09112,3.1.3.16; 3.1.3.48
O09113,Not Available
O09114,5.3.99.2
O09118,Not Available
O09126,Not Available
O09127,2.7.10.1
O09130,Not Available
O09131,1.20.4.2; 1.8.5.1; 2.5.1.18
O09159,3.2.1.24
O09160,2.4.1.344; 2.4.1.69
O09161,Not Available
O09164,1.15.1.1
O09165,Not Available
O09172,Not Available
O09173,1.13.11.5
O09174,5.1.99.4
O09198,Not Available
O35047,Not Available
O35054,Not Available
O35074,4.2.1.152; 5.3.99.4
O35082,3.2.1.31
O35083,2.3.1.51
O35084,1.14.15.18
O35085,Not Available
O35089,Not Available
O35099,2.7.11.25
O35111,Not Available
O35114,Not Available
O35118,Not Available
O35125,Not Available
O35126,Not Available
O35129,Not Available
O35130,2.1.1.-
O35134,2.7.7.6
O35136,Not Available
O35137,Not Available
O35143,Not Available
O35144,Not Available
O35149,Not Available
O35160,Not Available
O35161,Not Available
O35166,Not Available
O35173,Not Available
O35174,Not Available
O35177,Not Available
O35181,Not Available
O35182,Not Available
O35185,Not Available
O35188,Not Available
O35206,Not Available
O35216,Not Available
O35219,Not Available
O35226,Not Available
O35227,Not Available
O35231,Not Available
O35235,Not Available
O35245,Not Available
O35250,Not Available
O35253,Not Available
O35261,Not Available
O35280,2.7.11.1
O35284,Not Available
O35286,3.6.4.13
O35291,4.6.1.18
O35295,Not Available
O35298,3.1.1.77
O35304,Not Available
O35305,Not Available
O35309,Not Available
O35310,2.8.2.23
O35316,Not Available
O35317,Not Available
O35324,Not Available
O35343,Not Available
O35345,Not Available
O35350,3.4.22.52
O35375,Not Available
O35379,7.6.2.2; 7.6.2.3
O35381,Not Available
O35382,Not Available
O35385,3.1.3.16
O35386,1.14.11.18
O35387,Not Available
O35393,Not Available
O35400,2.8.2.2
O35405,3.1.16.1
O35409,3.4.17.21
O35417,Not Available
O35423,2.6.1.44; 2.6.1.51
O35425,Not Available
O35426,Not Available
O35427,Not Available
O35435,1.3.5.2
O35437,Not Available
O35445,2.3.2.27
O35449,Not Available
O35451,Not Available
O35452,Not Available
O35453,3.4.21.106
O35454,Not Available
O35457,Not Available
O35464,Not Available
O35465,5.2.1.8
O35468,Not Available
O35469,1.1.1.-; 1.1.1.145; 5.3.3.1
O35473,Not Available
O35484,Not Available
O35488,6.2.1.-; 6.2.1.15; 6.2.1.24; 6.2.1.3; 6.2.1.7
O35491,2.7.12.1
O35492,2.7.12.1
O35493,2.7.12.1
O35495,2.7.11.22
O35516,Not Available
O35526,Not Available
O35544,Not Available
O35551,Not Available
O35565,Not Available
O35566,Not Available
O35593,3.4.19.-
O35594,Not Available
O35595,Not Available
O35598,3.4.24.81
O35599,Not Available
O35600,7.6.2.1
O35601,Not Available
O35604,Not Available
O35607,2.7.11.30
O35608,Not Available
O35613,Not Available
O35615,Not Available
O35618,Not Available
O35621,5.4.2.8
O35622,Not Available
O35625,Not Available
O35626,Not Available
O35627,Not Available
O35632,3.2.1.35
O35633,Not Available
O35638,Not Available
O35639,Not Available
O35643,Not Available
O35646,Not Available
O35648,Not Available
O35652,Not Available
O35655,3.1.3.16
O35657,3.2.1.18
O35658,Not Available
O35659,Not Available
O35664,Not Available
O35668,Not Available
O35671,Not Available
O35674,3.4.24.-
O35678,3.1.1.23
O35681,Not Available
O35685,Not Available
O35690,Not Available
O35696,2.4.3.-
O35701,Not Available
O35704,2.3.1.50
O35710,3.1.3.108
O35714,Not Available
O35716,Not Available
O35717,Not Available
O35718,Not Available
O35719,Not Available
O35728,Not Available
O35730,2.3.2.27
O35732,Not Available
O35738,Not Available
O35739,Not Available
O35740,Not Available
O35744,3.2.1.52
O35855,2.6.1.42
O35864,3.4.-.-
O35874,Not Available
O35885,Not Available
O35902,Not Available
O35903,Not Available
O35904,2.7.1.137; 2.7.1.153
O35906,Not Available
O35914,Not Available
O35926,Not Available
O35927,Not Available
O35929,Not Available
O35930,Not Available
O35936,1.13.11.-; 1.13.11.58
O35942,2.7.11.1
O35943,1.16.3.1
O35945,1.2.1.3
O35949,2.3.1.199
O35954,Not Available
O35955,3.4.25.1
O35963,Not Available
O35969,2.1.1.2
O35973,Not Available
O35975,2.4.2.31; 3.2.2.5
O35980,3.2.2.-; 4.2.99.18
O35984,Not Available
O35988,Not Available
O54689,Not Available
O54693,Not Available
O54709,Not Available
O54714,2.3.2.-
O54724,Not Available
O54732,3.4.24.-
O54743,Not Available
O54750,1.14.14.1
O54751,Not Available
O54752,3.2.1.50
O54754,1.17.3.-; 1.2.3.1
O54774,Not Available
O54775,Not Available
O54781,2.7.11.1
O54784,2.7.11.1
O54785,2.7.11.1
O54786,Not Available
O54788,3.-.-.-
O54790,Not Available
O54794,Not Available
O54799,Not Available
O54803,Not Available
O54804,2.7.1.32; 2.7.1.82
O54824,Not Available
O54825,Not Available
O54827,7.6.2.1
O54828,Not Available
O54829,Not Available
O54833,2.7.11.1
O54834,Not Available
O54839,Not Available
O54851,Not Available
O54863,2.7.11.1
O54864,2.1.1.355
O54865,4.6.1.2
O54879,Not Available
O54885,Not Available
O54890,Not Available
O54901,Not Available
O54904,2.4.1.86
O54905,2.4.1.86
O54907,Not Available
O54908,Not Available
O54909,1.1.1.105; 1.1.1.209; 1.1.1.315; 1.1.1.53
O54915,Not Available
O54916,Not Available
O54917,Not Available
O54918,Not Available
O54926,Not Available
O54928,Not Available
O54931,Not Available
O54940,Not Available
O54941,Not Available
O54942,Not Available
O54943,Not Available
O54946,Not Available
O54949,2.7.11.24
O54950,Not Available
O54951,Not Available
O54957,Not Available
O54962,Not Available
O54965,2.3.2.27
O54967,2.7.10.2; 2.7.11.1
O54972,Not Available
O54982,Not Available
O54983,1.5.1.25
O54988,2.7.11.1
O54990,Not Available
O54991,Not Available
O54992,2.7.11.1
O54998,5.2.1.8
O55003,Not Available
O55013,Not Available
O55017,Not Available
O55022,Not Available
O55023,3.1.3.25; 3.1.3.94
O55026,3.6.1.-
O55028,2.7.11.1; 2.7.11.4
O55029,Not Available
O55033,Not Available
O55038,Not Available
O55042,Not Available
O55047,2.7.11.1
O55055,2.1.1.204
O55070,3.1.21.-
O55074,Not Available
O55087,Not Available
O55091,Not Available
O55098,2.7.11.1
O55100,Not Available
O55102,Not Available
O55103,Not Available
O55111,Not Available
O55112,Not Available
O55123,3.4.24.22
O55127,1.14.13.-
O55128,Not Available
O55131,Not Available
O55134,Not Available
O55135,Not Available
O55137,3.1.2.-; 3.1.2.2
O55142,Not Available
O55143,7.2.2.10
O55144,Not Available
O55176,2.3.2.27
O55183,Not Available
O55186,Not Available
O55187,2.3.2.-
O55188,Not Available
O55192,Not Available
O55201,Not Available
O55203,Not Available
O55208,Not Available
O55222,2.7.11.1
O55225,Not Available
O55229,2.7.1.32; 2.7.1.82
O55230,Not Available
O55233,Not Available
O55234,3.4.25.1
O55236,2.7.7.50; 3.6.1.74
O55237,Not Available
O55239,2.1.1.1
O55240,1.1.1.209; 1.1.1.315; 1.1.1.53
O55241,Not Available
O55242,Not Available
O70126,2.7.11.1
O70131,Not Available
O70133,3.6.4.13
O70137,Not Available
O70138,3.4.24.34
O70145,Not Available
O70146,2.7.12.1
O70152,2.4.1.83
O70157,5.6.2.1
O70161,2.7.1.68
O70165,Not Available
O70166,Not Available
O70167,2.7.1.137; 2.7.1.154
O70172,2.7.1.149
O70174,Not Available
O70176,Not Available
O70191,Not Available
O70194,Not Available
O70200,Not Available
O70201,Not Available
O70209,Not Available
O70220,Not Available
O70228,7.6.2.1
O70230,Not Available
O70237,Not Available
O70250,5.4.2.11; 5.4.2.4
O70252,1.14.14.18
O70255,Not Available
O70258,Not Available
O70263,2.3.2.27
O70274,3.1.3.48
O70281,2.8.2.20
O70283,Not Available
O70291,2.7.11.16
O70293,2.7.11.16
O70299,2.7.7.-
O70302,Not Available
O70303,Not Available
O70305,Not Available
O70306,Not Available
O70309,Not Available
O70310,2.3.1.97
O70318,Not Available
O70324,Not Available
O70325,1.11.1.12; 1.11.1.9
O70326,Not Available
O70333,Not Available
O70337,Not Available
O70342,Not Available
O70343,Not Available
O70348,3.1.13.-; 3.6.1.-
O70355,Not Available
O70361,Not Available
O70362,3.1.4.50
O70370,3.4.22.27
O70372,2.7.7.49
O70373,Not Available
O70374,Not Available
O70394,Not Available
O70400,Not Available
O70404,Not Available
O70405,2.7.11.1
O70421,Not Available
O70423,1.4.3.21
O70433,Not Available
O70435,Not Available
O70439,Not Available
O70443,Not Available
O70445,2.3.2.27
O70451,Not Available
O70456,Not Available
O70458,Not Available
O70460,Not Available
O70468,Not Available
O70469,Not Available
O70475,1.1.1.22
O70477,Not Available
